Time,COP X (cm),COP Y (cm)
10.8263,12.76966,6.786967
10.84286,12.66601,6.685002
10.85943,12.66601,6.685002
10.87658,12.5067,6.533245
10.89256,12.46466,6.576918
10.90913,12.5279,6.656092
10.9257,12.45793,6.733299
10.94274,12.38383,6.735189
10.9597,12.38383,6.735189
10.97591,12.28351,6.612389
10.99286,12.40873,6.670613
11.00853,12.59938,6.60009
11.0251,12.84822,6.631204
11.04197,13.08176,6.696012
11.05882,13.08176,6.696012
11.07491,13.23296,6.714543
11.09136,13.32774,6.881203
11.10793,13.32774,6.881203
11.12466,13.50587,6.908847
11.14106,13.65586,6.814388
11.15773,13.65586,6.814388
11.1742,13.75564,6.848882
11.19076,13.68411,6.758369
11.20779,13.46046,6.633448
11.2239,13.46046,6.633448
11.24071,13.4594,6.587395
11.2578,13.4594,6.587395
11.27378,13.14945,6.250385
11.29016,12.63303,5.856606
11.30674,12.11297,5.495
11.32379,12.11297,5.495
11.33986,12.11297,5.495
11.35669,11.09389,4.853456
11.37369,10.53742,4.697638
11.38965,10.27462,4.521025
11.40675,9.926188,4.157115
11.42317,9.7442,3.950829
11.43926,9.7442,3.950829
11.45583,4.575246,3.376477
11.4724,2.6754,3.900925
11.48896,1.212502,3.757751
11.50553,0.2509919,3.807909
11.5221,-1.090744,4.300773
11.53907,-1.090744,4.300773
11.55593,-4.428838,4.870106
11.57198,-6.662975,5.052875
11.58886,-8.691479,5.470117
11.60508,-10.32165,5.862411
11.62205,-11.14496,6.321579
11.63901,-11.14496,6.321579
11.65463,-12.39794,6.970714
11.6712,-12.79948,7.349101
11.68785,-13.03181,7.46919
11.70502,-13.12361,7.731483
11.72106,-13.40859,7.944198
11.73746,-13.40859,7.944198
11.75403,-13.41011,8.065639
11.77089,-13.33114,8.141147
11.78717,-12.97247,8.205523
11.80402,-12.6086,8.24975
11.82106,-12.41858,8.178003
11.83701,-12.41858,8.178003
11.85343,-11.79451,8.090015
11.87015,-11.48462,8.021728
11.88686,-10.63266,7.875517
11.90382,-10.12774,7.578973
11.9197,-10.12774,7.578973
11.93626,-9.71711,6.367095
11.95328,-9.71711,6.367095
11.97002,-7.919264,5.761341
11.98598,-7.919264,5.761341
12.00304,-7.266238,5.488222
12.0191,-7.266238,5.488222
12.03594,-7.072448,4.697195
12.05224,-7.497877,4.070786
12.06891,-8.521294,3.743701
12.08536,-8.521294,3.743701
12.10193,-8.13054,3.492101
12.1185,-8.13054,3.492101
12.13506,-7.536407,3.382049
12.15181,-7.452657,2.734295
12.1682,-7.452657,2.734295
12.18476,-9.169814,2.54306
12.20165,-9.59946,2.606684
12.21795,-9.59946,2.606684
12.23446,-10.09457,2.401183
12.25113,-10.09457,2.401183
12.2676,-11.53324,-0.1768628
12.28428,-11.76171,-1.493677
12.30128,-11.24294,-1.215073
12.31741,-11.24294,-1.215073
12.33437,-9.88355,-1.005092
12.35043,-10.13427,-1.200428
12.36726,-10.32948,-1.479829
12.38356,-10.27252,-2.021415
12.40023,-10.07384,-2.661316
12.4167,-10.07384,-2.661316
12.43326,-9.329834,-3.971651
12.45015,-8.916277,-4.54388
12.46705,-8.383586,-5.146942
12.48306,-7.629386,-5.579381
12.50004,-6.847588,-5.850342
